year,rank,name,net_worth,age,nationality,source_wealth
2019,1,Jeff Bezos,131.0,55,United States,Amazon
2019,2,Bill Gates,96.5,63,United States,Microsoft
2019,3,Warren Buffett,82.5,88,United States,Berkshire Hathaway
2019,4,Bernard Arnault,76.0,70,France,LVMH
2019,5,Carlos Slim,64.0,79,Mexico,"América Móvil, Grupo Carso"
2019,6,Amancio Ortega,62.7,82,Spain,"Inditex, Zara"
2019,7,Larry Ellison,62.5,74,United States,Oracle Corporation
2019,8,Mark Zuckerberg,62.3,34,United States,Facebook
2019,9,Michael Bloomberg,55.5,77,United States,Bloomberg L.P.
2019,10,Larry Page,50.8,45,United States,Alphabet Inc.
2018,1,Jeff Bezos,112.0,54,United States,Amazon
2018,2,Bill Gates,90.0,62,United States,Microsoft
2018,3,Warren Buffett,84.0,87,United States,Berkshire Hathaway
2018,4,Bernard Arnault,72.0,69,France,LVMH
2018,5,Mark Zuckerberg,71.0,33,United States,Facebook
2018,6,Amancio Ortega,70.0,81,Spain,"Inditex, Zara"
2018,7,Carlos Slim,67.1,78,Mexico,"América Móvil, Grupo Carso"
2018,8,Charles Koch,60.0,82,United States,Koch Industries
2018,8,David Koch,60.0,77,United States,Koch Industries
2018,10,Larry Ellison,58.5,73,United States,Oracle Corporation
2017,1,Bill Gates,86.0,61,United States,Microsoft
2017,2,Warren Buffett,75.6,86,United States,Berkshire Hathaway
2017,3,Jeff Bezos,72.8,53,United States,Amazon
2017,4,Amancio Ortega,71.3,80,Spain,"Inditex, Zara"
2017,5,Mark Zuckerberg,56.0,32,United States,Facebook
2017,6,Carlos Slim,54.5,77,Mexico,"América Móvil, Grupo Carso"
2017,7,Larry Ellison,52.2,72,United States,Oracle Corporation
2017,8,Charles Koch,48.3,81,United States,Koch Industries
2017,8,David Koch,48.3,76,United States,Koch Industries
2017,10,Michael Bloomberg,47.5,75,United States,Bloomberg L.P.
2016,1,Bill Gates,75.0,60,United States,Microsoft
2016,2,Amancio Ortega,67.0,79,Spain,Inditex
2016,3,Warren Buffett,60.8,85,United States,Berkshire Hathaway
2016,4,Carlos Slim,50.0,76,Mexico,"América Móvil, Grupo Carso"
