Country_Region,Province_State,World_Bank_Name,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16
Australia,,Australia,9.3,68.3,18.9,5002.4,4529.9,0,3.6,12.7,45.1,100,100
Austria,,Austria,10.4,72.5,18.9,4688.3,5295.2,NaN,5.1,8.2,109.9,100,100
Belgium,,Belgium,10,84.1,15.9,4149.4,4667.9,0,3.3,11.1,89.8,100,100
Canada,,Canada,10.5,73.4,14.6,4458.2,4718.3,NaN,2.6,9.9,43.9,100,100
United Kingdom,Cayman Islands,Cayman Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,156.8,NaN,NaN
United Kingdom,Channel Islands,Channel Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.7,NaN,NaN
Chile,,Chile,8.5,58.5,34.8,1190.5,2002,0,1.1,0.9,59.3,99,100
Colombia,,Colombia,5.9,62.3,20.2,340.4,829.8,2.1,2.1,1.3,22.7,96.8,98
Czechia,,Czech Republic,7.1,81.9,15,1321.6,2484.6,NaN,4.3,8.4,124.5,100,100
Denmark,,Denmark,10.4,84.1,13.7,5565.6,5093,NaN,4.5,10.3,69,100,98
Estonia,,Estonia,6.7,75.4,22.7,1185.3,1987.7,0.2,3.5,6.5,65,100,100
Denmark,Faroe Islands,Faroe Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Finland,,Finland,9.5,77.4,20.4,4117.3,4112.1,0,3.8,14.7,76.3,100,100
Germany,,Germany,11.1,84.7,12.4,4714.3,5463.3,NaN,4.2,13.2,108,100,100
Greece,,Greece,8.5,60.7,34.3,1510.7,2261.2,0.3,4.6,3.4,163.5,100,100
Denmark,Greenland,Greenland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
US,Guam,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hungary,,Hungary,7.4,65.9,29.7,942.6,1963.2,0,3.2,6.6,55.7,100,100
Iceland,,Iceland,8.3,81.5,16.9,5063.6,4245.1,0,4,15.7,101.6,100,100
Ireland,,Ireland,7.4,72.1,13,4758.6,5299.7,0,3.1,14.3,72,100,100
United Kingdom,Isle of Man,Isle of Man,NaN,NaN,NaN,NaN,NaN,NaN,1.4,2.3,52.4,85.4,NaN
Israel,,Israel,7.3,62.5,23,2837.1,2843,1.5,3.2,5.2,75.6,100,100
Italy,,Italy,8.9,74.5,23.1,2738.7,3427.3,NaN,4.1,5.9,142.4,100,100
Japan,,Japan,10.9,83.6,13.5,4233,4592.4,0,2.4,11.5,37.4,100,100
"Korea, South",,"Korea, Rep.",7.3,59.2,33.3,2043.9,2711.7,0,2.4,7,49.6,NaN,99
Latvia,,Latvia,6.2,54.6,44.6,874.2,1589.7,0,3.2,4.8,67.6,100,100
Lithuania,,Lithuania,6.7,65.6,32.3,987.9,1978.3,1,4.3,7.9,130.9,100,100
Luxembourg,,Luxembourg,6.2,81.2,11.2,6271.4,6374.2,1.2,3,12.3,80.8,100,100
Mexico,,Mexico,5.5,52.1,40.4,461.8,971.8,NaN,2.2,2.9,NaN,95,99
Netherlands,,Netherlands,10.4,81,11.5,4742,5251.2,0,3.5,11.1,49,100,100
New Zealand,,New Zealand,9.2,78.7,13.6,3745.2,3664.7,0,3,11,43,100,100
Norway,,Norway,10.5,85.1,14.5,7477.9,6203.5,0,4.6,18.1,67.2,100,100
Poland,,Poland,6.5,69.7,22.9,809,1784.4,0.2,2.4,5.7,67.9,100,100
Portugal,,Portugal,9.1,66.4,27.8,1800.9,2778.4,NaN,3.3,6.4,86.1,100,100
US,Puerto Rico,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Netherlands,Sint Maarten,Sint Maarten (Dutch part),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Slovakia,,Slovak Republic,7.1,79.8,17.8,1178.7,2172.2,0,2.5,9.2,53.9,100,100
Slovenia,,Slovenia,8.5,72.3,12,1834.2,2772.2,NaN,3,9.7,66.7,100,100
Spain,,Spain,9,71.2,23.8,2389.9,3259.8,NaN,4.1,5.5,79.9,100,100
Sweden,,Sweden,10.9,83.5,15.2,5710.6,5386.7,NaN,5.4,11.5,113.1,100,100
Switzerland,,Switzerland,12.2,62.8,29.6,9836,7867.4,NaN,4.2,17.3,94.8,100,100
Turkey,,Turkey,4.3,78.4,16.5,468.6,1089.2,NaN,1.8,2.6,47.6,99,78
United Kingdom,,United Kingdom,9.8,80.2,15.1,3958,4177.8,0,2.8,8.3,133.3,100,100
US,,United States,17.1,81.8,11.1,9869.7,9869.7,0,2.6,8.6,54.7,100,98
US,Virgin Islands,Virgin Islands (U.S.),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
